MAL_ID,Name,Score,Genres,English name,,Type,Episodes,Aired,Premiered,,,Studios,Source,,Rating,Ranked,Popularity,,Favorites,Watching,Completed,,Dropped
1902,Happiness!: Watarase Jun no Kareinaru Ichinichi,6.74,"Comedy, Fantasy",Unknown,,OVA,1,25-Jan-07,Unknown,,,Artland,Visual novel,,PG-13 - Teens 13 or older,4715,6032,,8,72,4426,,63
1903,Stratos 4: Logbook,6.35,"Action, Ecchi, Sci-Fi",Unknown,,Special,1,26-Aug-06,Unknown,,,Studio Fantasia,Original,,PG-13 - Teens 13 or older,6625,9627,,1,48,807,,45
1904,Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,6.54,"Fantasy, Magic, Romance, Supernatural, Demons, Historical, Shoujo",Unknown,,OVA,3,"Mar 23, 2003 to Feb 2, 2005",Unknown,,,Unknown,Visual novel,,PG-13 - Teens 13 or older,5698,7905,,8,105,1238,,74
1905,Harukanaru Toki no Naka de: Hachiyou Shou Specials,6.4,"Fantasy, Magic, Romance, Supernatural, Historical, Shoujo",Unknown,,Special,8,"Sep 23, 2005 to Apr 16, 2006",Unknown,,,Unknown,Visual novel,,PG-13 - Teens 13 or older,6413,8296,,6,86,1284,,74
1906,Harukanaru Toki no Naka de: Maihitoyo,7.22,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",Unknown,,Movie,1,19-Aug-06,Unknown,,,Unknown,Visual novel,,PG-13 - Teens 13 or older,2681,6351,,20,160,2331,,103
1907,Harukanaru Toki no Naka de: Hachiyou Shou OVA,6.51,"Fantasy, Comedy, Supernatural, Demons, Historical, Shoujo",Unknown,,OVA,2,"Dec 23, 2005 to Jan 27, 2006",Unknown,,,Unknown,Visual novel,,PG-13 - Teens 13 or older,5865,9017,,3,54,850,,62
1908,Lesson XX,6.02,"Romance, Shounen Ai",Unknown,,OVA,1,7-Apr-95,Unknown,,,Unknown,Novel,,PG-13 - Teens 13 or older,8168,5536,,13,115,5014,,100
1909,Kusatta Kyoushi no Houteishiki,6.11,"Comedy, Romance, Shounen Ai",Bad Teacher Equation,,OVA,2,"Nov 25, 1994 to Nov 24, 1995",Unknown,,,J.C.Staff,Manga,,PG-13 - Teens 13 or older,7776,6972,,12,108,2619,,94
1910,Master Keaton OVA,7.76,"Adventure, Drama, Historical, Mystery, Seinen, Slice of Life",Unknown,,OVA,15,"Dec 21, 1999 to Jun 20, 2000",Unknown,,,Madhouse,Manga,,R - 17+ (violence & profanity),897,5603,,14,302,2687,,121
1911,Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!,7.44,"Comedy, Mecha, Shounen",Unknown,,Movie,2,1-Oct-06,Unknown,,,Gainax,Original,,PG-13 - Teens 13 or older,1790,4655,,31,347,4752,,189
1912,Marginal Prince: Gekkeiju no Ouji-tachi,5.91,"Romance, School, Shounen Ai",Unknown,,TV,13,"Oct 2, 2006 to Dec 25, 2006",Fall 2006,,,Unknown,Visual novel,,PG-13 - Teens 13 or older,8509,4539,,18,692,4356,,1165
1913,Shonan Junai Gumi!,7.48,"Action, Comedy, School",Unknown,,OVA,5,"Jan 21, 1994 to Jan 24, 1997",Unknown,,,"J.C.Staff, Life Work",Manga,,R+ - Mild Nudity,1650,2730,,141,1592,19042,,745
1914,Saiunkoku Monogatari 2nd Season,8.07,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",Tales of Saiunkoku,,TV,39,"Apr 7, 2007 to Mar 8, 2008",Spring 2007,,,Madhouse,Light novel,,PG-13 - Teens 13 or older,456,2749,,232,2082,19727,,1105
1915,Mahou Shoujo Lyrical Nanoha StrikerS,7.65,"Action, Magic, Comedy, Super Power, Drama",Magical Girl Lyrical Nanoha StrikerS,,TV,26,"Apr 2, 2007 to Sep 24, 2007",Spring 2007,,,Seven Arcs,Original,,PG-13 - Teens 13 or older,1165,2328,,604,1728,30069,,1511
1916,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,6.85,"Mecha, Military, Sci-Fi, Space",Unknown,,OVA,3,"Apr 26, 2006 to Aug 25, 2006",Unknown,,,Sunrise,Unknown,,PG-13 - Teens 13 or older,4239,4628,,9,216,7892,,197
1917,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,6.69,"Mecha, Military, Sci-Fi, Space",Unknown,,OVA,3,"Jul 19, 2004 to Nov 3, 2004",Unknown,,,Sunrise,Unknown,,PG-13 - Teens 13 or older,4952,4459,,11,238,8509,,261
1918,Mahou Shoujo Pretty Sammy,6.4,"Comedy, Parody, Magic, Fantasy",Magical Girl Pretty Sammy,,OVA,3,"Aug 25, 1995 to Aug 24, 1997",Unknown,,,AIC,Original,,PG-13 - Teens 13 or older,6401,5923,,12,171,3663,,169
1919,Urusei Yatsura OVA,7.39,"Sci-Fi, Adventure, Comedy",Unknown,,OVA,11,"Sep 24, 1985 to Jun 21, 1991",Unknown,,,"Madhouse, Studio Deen, Magic Bus",Manga,,PG-13 - Teens 13 or older,1936,6590,,8,199,2500,,106
1920,Urusei Yatsura Movie 1: Only You,7.08,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi",Unknown,,Movie,1,13-Feb-83,Unknown,,,Studio Pierrot,Manga,,PG-13 - Teens 13 or older,3313,5517,,9,133,4861,,80
1921,Urusei Yatsura Movie 2: Beautiful Dreamer,7.83,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi",Unknown,,Movie,1,11-Feb-84,Unknown,,,Studio Pierrot,Manga,,PG-13 - Teens 13 or older,771,4414,,184,310,7812,,154
1922,Urusei Yatsura Movie 3: Remember My Love,6.98,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance",Unknown,,Movie,1,26-Jan-85,Unknown,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,3722,6258,,10,109,3339,,78
1923,Urusei Yatsura Movie 4: Lum The Forever,6.77,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance",Unknown,,Movie,1,22-Feb-86,Unknown,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,4571,6456,,8,100,3000,,70
1924,Urusei Yatsura Movie 5: Kanketsu-hen,7.46,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Unknown,,Movie,1,6-Feb-88,Unknown,,,Unknown,Manga,,PG-13 - Teens 13 or older,1700,6372,,12,110,3028,,83
1925,Urusei Yatsura Movie 6: Itsudatte My Darling,6.84,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance",Urusei Yatsura Movie 6:Always My Darling,,Movie,1,18-Aug-91,Unknown,,,Madhouse,Manga,,PG-13 - Teens 13 or older,4286,6458,,2,123,2692,,82
1926,Jishu Seisaku Movie Binchou-tan,6.06,"Slice of Life, Music",Unknown,,Music,1,14-Aug-05,Unknown,,,Ishikawa Pro,Manga,,G - All Ages,7990,8577,,0,30,1651,,52
1927,Gakuen Tokusou Hikaruon,5.59,"Action, Super Power, Martial Arts, School",Campus Special Investigator Hikaruon,,OVA,1,28-Jan-87,Unknown,,,AIC,Original,,R+ - Mild Nudity,9434,8686,,5,63,1263,,46
1928,Early Reins,5.92,"Action, Adventure, Seinen",Early Reins,,OVA,1,14-Feb-03,Unknown,,,OLM,Original,,R - 17+ (violence & profanity),8475,7866,,4,91,1745,,66
1929,Futari wa Precure: Max Heart,6.94,"Action, Comedy, Fantasy, Magic, Shoujo",Pretty Cure Max Heart,,TV,47,"Feb 6, 2005 to Jan 29, 2006",Winter 2005,,,Toei Animation,Original,,G - All Ages,3838,4351,,46,622,8207,,582
1930,Futari wa Precure: Max Heart Movie 1,6.79,"Fantasy, Magic, Comedy, Shoujo",Unknown,,Movie,1,16-Apr-05,Unknown,,,Toei Animation,Original,,G - All Ages,4492,6392,,8,103,3371,,105
1931,Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,7.09,"Fantasy, Magic, Comedy, Shoujo",Pretty Cure Max Heart:Friends of the Snow-Laden Sky,,Movie,1,10-Dec-05,Unknown,,,Toei Animation,Original,,G - All Ages,3249,6488,,8,93,3211,,88
1932,Yes! Precure 5,7.14,"Action, Fantasy, Magic, School, Shoujo",Yes! Pretty Cure 5,,TV,49,"Feb 4, 2007 to Jan 27, 2008",Winter 2007,,,Toei Animation,Original,,G - All Ages,3050,4490,,81,791,6491,,655
1933,Growlanser IV: Wayfarer of the Time,5.68,Action,Growlanser IV:Wayfarer of Time,,OVA,1,10-Mar-05,Unknown,,,"feel., Zexcs",Visual novel,,PG-13 - Teens 13 or older,9194,9779,,2,39,733,,39
1935,Megazone 23,6.81,"Action, Sci-Fi, Music, Mystery, Romance, Mecha",Megazone 23,,OVA,4,"Mar 9, 1985 to Dec 22, 1989",Unknown,,,"Artland, AIC, Artmic",Original,,R+ - Mild Nudity,4416,4244,,49,874,4330,,377
1936,Misute♡naide Daisy,5.65,"Sci-Fi, Comedy, Romance, Shounen","Don't Leave Me Alone, Daisy",,TV,12,"Jul 3, 1997 to Sep 18, 1997",Summer 1997,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,9296,9914,,3,57,451,,111
1937,Nakoruru: Ano Hito kara no Okurimono,5.53,"Fantasy, Supernatural, Historical, Drama",Unknown,,OVA,1,25-May-02,Unknown,,,Arms,Game,,R+ - Mild Nudity,9630,9482,,2,49,775,,46
1938,Shin Kaitei Gunkan,6.1,"Action, Adventure, Fantasy, Historical, Military, Sci-Fi",Unknown,,OVA,2,"Dec 21, 1995 to Aug 1, 1996",Unknown,,,Phoenix Entertainment,Other,,PG-13 - Teens 13 or older,7800,9456,,1,75,675,,47
1939,SD Gundam Gaiden,5.83,"Adventure, Comedy, Fantasy, Mecha",Unknown,,OVA,4,"Apr 25, 1990 to Apr 21, 1991",Unknown,,,Unknown,Original,,PG - Children,8737,8403,,0,66,1198,,129
1940,Outlanders,5.91,"Sci-Fi, Adventure, Comedy, Ecchi, Shounen",Unknown,,OVA,1,16-Dec-86,Unknown,,,AIC,Manga,,R - 17+ (violence & profanity),8484,6061,,18,192,3494,,73
1941,Moonlight Mile 1st Season: Lift Off,7.18,"Adventure, Drama, Sci-Fi, Space",Unknown,,TV,12,"Mar 4, 2007 to May 27, 2007",Spring 2007,,,Studio Hibari,Manga,,R+ - Mild Nudity,2858,5072,,18,393,3261,,495
1942,Rocket Girls,6.91,"Adventure, Sci-Fi, Space",Unknown,,TV,12,"Feb 22, 2007 to May 18, 2007",Winter 2007,,,Mook DLE,Light novel,,PG-13 - Teens 13 or older,3962,5633,,8,284,3001,,315
1943,Paprika,8.06,"Dementia, Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller",Paprika,,Movie,1,25-Nov-06,Unknown,,,Madhouse,Novel,,R+ - Mild Nudity,467,361,,3238,6172,242913,,1396
1944,Photon,7.07,"Action, Adventure, Comedy, Drama, Ecchi, Mecha, Romance, Sci-Fi",Photon:The Idiot Adventures,,OVA,6,"Nov 21, 1997 to Feb 18, 1999",Unknown,,,AIC,Original,,R+ - Mild Nudity,3357,4539,,46,457,7380,,339
1946,Ashita no Nadja,7.59,"Adventure, Drama, Historical, Romance, Shoujo",Tomorrow's Nadja,,TV,50,"Feb 2, 2003 to Jan 25, 2004",Winter 2003,,,Toei Animation,Original,,G - All Ages,1304,3303,,242,1264,11265,,1316
1947,Kikou Sennyo Rouran,5.82,"Action, Fantasy, Mecha",Strange Steel Fairy Rouran,,TV,28,"Nov 15, 2002 to May 30, 2003",Fall 2002,,,Zexcs,Original,,PG-13 - Teens 13 or older,8766,9323,,2,102,413,,121
1949,Mahou no Chocolate,5.28,"Drama, Romance",Unknown,,OVA,1,30-Aug-01,Unknown,,,Ishikawa Pro,Original,,G - All Ages,10182,7825,,2,44,2271,,40
1951,Manie-Manie: Meikyuu Monogatari,7.05,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",Neo Tokyo,,Movie,3,25-Sep-87,Unknown,,,Madhouse,Original,,PG-13 - Teens 13 or older,3471,3380,,88,721,11539,,140
1952,Vampire Hunter,6.63,"Action, Adventure, Supernatural, Drama, Vampire, Fantasy",Night Warriors:Darkstalkers' Revenge,,OVA,4,"Mar 21, 1997 to Mar 27, 1998",Unknown,,,Madhouse,Game,,R - 17+ (violence & profanity),5244,4229,,54,492,7874,,327
1953,Code Geass: Hangyaku no Lelouch Picture Drama,6.97,"Comedy, School, Slice of Life",Code Geass:Lelouch of the Rebellion Picture Dramas,,Special,9,"Jan 27, 2007 to Sep 25, 2007",Unknown,,,Sunrise,Original,,PG-13 - Teens 13 or older,3741,2400,,113,796,31554,,759
1954,Rayearth,6.89,"Action, Adventure, Fantasy",Magic Knight Rayearth OVA,,OVA,3,"Jul 25, 1997 to Nov 24, 1997",Unknown,,,TMS Entertainment,Manga,,PG-13 - Teens 13 or older,4062,4383,,33,260,8771,,226
1955,Kimagure Robot,6.03,"Comedy, Fantasy, Sci-Fi",Unknown,,TV,10,22-Dec-04,Fall 2004,,,Studio 4°C,Book,,PG - Children,8123,8758,,0,51,1238,,68
1956,Ikkitousen: Dragon Destiny,6.8,"Action, Super Power, Ecchi, Martial Arts, School",Ikkitousen:Dragon Destiny,,TV,12,"Feb 26, 2007 to May 14, 2007",Winter 2007,,,Arms,Manga,,R+ - Mild Nudity,4439,1862,,135,2421,44750,,2278
1957,Ai Tenshi Densetsu Wedding Peach DX,6.66,"Adventure, Magic, Comedy, Romance, Shoujo",Wedding Peach DX,,OVA,4,"Dec 24, 1996 to Jul 25, 1997",Unknown,,,Unknown,Unknown,,G - All Ages,5060,6524,,18,128,3346,,115
1958,Wish,6.58,"Music, Shoujo",Unknown,,Music,1,17-Dec-97,Unknown,,,Unknown,Manga,,G - All Ages,5511,5720,,5,66,5445,,42
1959,Wild 7,6.21,"Action, Police, Drama, Shounen",Unknown,,OVA,2,"Dec 17, 1994 to Feb 21, 1995",Unknown,,,Pierrot Plus,Manga,,R - 17+ (violence & profanity),7299,9071,,0,83,624,,60
1960,Sore Ike! Anpanman,6.38,"Comedy, Kids, Fantasy",Unknown,,TV,Unknown,"Oct 3, 1988 to ?",Fall 1988,,,TMS Entertainment,Picture book,,PG - Children,6522,8580,,17,553,2,,696
1961,Arashi no Yoru ni,7.7,"Adventure, Comedy, Drama, Fantasy",Unknown,,Movie,1,10-Dec-05,Unknown,,,Group TAC,Book,,G - All Ages,1016,3706,,196,330,12075,,228
1962,Chikyuu Bouei Kazoku,6.57,"Action, Sci-Fi, Comedy, Drama",The Daichis:Earth's Defense Family,,TV,13,"Jan 9, 2001 to Mar 29, 2001",Winter 2001,,,Group TAC,Original,,PG-13 - Teens 13 or older,5517,9527,,8,77,509,,103
1964,Sakura Taisen: Ecole de Paris,6.44,"Action, Adventure, Game, Harem, Mecha, Sci-Fi",Sakura Wars:School of Paris,,OVA,3,"Mar 19, 2003 to Aug 20, 2003",Unknown,,,Radix,Game,,PG-13 - Teens 13 or older,6233,7608,,2,91,1604,,86
1965,Sola,7.22,"Drama, Romance, Slice of Life, Supernatural",Unknown,,TV,13,"Apr 7, 2007 to Jun 30, 2007",Spring 2007,,,Nomad,Manga,,PG-13 - Teens 13 or older,2697,1519,,432,3160,53005,,3083
1966,Ankoku Shinwa,4.21,"Demons, Fantasy, Horror, Mystery, Psychological, Supernatural",Unknown,,OVA,2,"Jan 26, 1990 to Feb 23, 1990",Unknown,,,Ajia-Do,Manga,,R+ - Mild Nudity,10992,8547,,2,75,1022,,93
1967,Mobile Suit Zeta Gundam: A New Translation - Heir to the Stars,7.16,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Zeta Gundam:A New Translation - Heir to the Stars,,Movie,1,28-May-05,Unknown,,,Sunrise,Original,,PG-13 - Teens 13 or older,2947,4881,,6,163,6783,,140
1968,Mobile Suit Zeta Gundam: A New Translation II - Lovers,7.06,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Mobile Suit Zeta Gundam:A New Translation II - Lovers,,Movie,1,29-Oct-05,Unknown,,,Sunrise,Original,,PG-13 - Teens 13 or older,3403,5097,,1,143,6105,,124
1969,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,7.15,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Zeta Gundam:A New Translation III - Love Is the Pulse of the Stars,,Movie,1,4-Mar-06,Unknown,,,Sunrise,Original,,PG-13 - Teens 13 or older,3005,5122,,6,132,5926,,123
1972,Meitantei Holmes,7.37,"Action, Adventure, Mystery, Comedy, Police",Sherlock Hound,,TV,26,"Nov 6, 1984 to May 21, 1985",Fall 1984,,,"Gallop, TMS Entertainment",Novel,,G - All Ages,2044,5224,,55,551,3607,,416
1973,X Densha de Ikou,5.77,"Mystery, Dementia, Supernatural",Unknown,,OVA,1,6-Nov-87,Unknown,,,Madhouse,Novel,,R - 17+ (violence & profanity),8930,8158,,10,59,1310,,63
1974,Glass no Kamen (2005),8.09,"Drama, Shoujo",Glass Mask,,TV,51,"Apr 6, 2005 to Mar 29, 2006",Spring 2005,,,Tokyo Movie Shinsha,Manga,,G - All Ages,424,2921,,484,1655,12162,,1289
1975,Mutekiou Tri-Zenon,6.15,"Mecha, Sci-Fi",Invincible King Tri-Zenon,,TV,22,"Oct 14, 2000 to Mar 17, 2001",Fall 2000,,,E&G Films,Unknown,,G - All Ages,7583,10439,,0,57,224,,106
1977,Hijikata Toshizou: Shiro no Kiseki,6.2,"Action, Historical, Drama, Samurai",Unknown,,OVA,1,12-Jan-04,Unknown,,,Studio 4°C,Unknown,,PG-13 - Teens 13 or older,7332,7984,,7,60,1379,,36
1978,Onkyo Seimeitai Noiseman,6.52,"Action, Fantasy, Sci-Fi",Noiseman Sound Insect,,Movie,1,22-Nov-97,Unknown,,,Studio 4°C,Original,,G - All Ages,5792,5303,,17,127,5268,,53
1979,Tobira wo Akete (1995),6.03,"Dementia, Fantasy",Unknown,,OVA,1,1995,Unknown,,,Studio 4°C,Unknown,,G - All Ages,8082,7477,,2,66,2343,,43
1980,Trava: Fist Planet,6.56,"Action, Comedy, Mecha, Sci-Fi, Space",Unknown,,OVA,4,"Mar 2, 2002 to Jul 3, 2002",Unknown,,,Madhouse,Original,,PG-13 - Teens 13 or older,5569,4367,,34,334,7066,,185
1981,Twilight Q,6.34,"Sci-Fi, Mystery, Psychological",Unknown,,OVA,2,"Feb 28, 1987 to Aug 28, 1987",Unknown,,,"Ajia-Do, Studio Deen",Original,,PG-13 - Teens 13 or older,6691,6021,,6,151,2754,,87
1982,Osu,5.28,Slice of Life,Male,,Movie,1,5-Nov-62,Unknown,,,Mushi Production,Original,,PG-13 - Teens 13 or older,10163,7886,,1,28,2482,,44
1983,Black Jack: Futari no Kuroi Isha,7.22,Drama,Black Jack:The Two Doctors of Darkness,,Movie,1,17-Dec-05,Unknown,,,Tezuka Productions,Unknown,,PG-13 - Teens 13 or older,2669,7029,,7,85,2348,,74
1984,Memory,6.09,Mystery,Unknown,,Movie,1,21-Sep-64,Unknown,,,Unknown,Original,,PG-13 - Teens 13 or older,7863,8265,,1,36,2038,,51
1985,UFO Robo Grendizer,7.53,"Mecha, Sci-Fi, Shounen",Unknown,,TV,74,"Oct 5, 1975 to Feb 27, 1977",Fall 1975,,,Toei Animation,Manga,,PG-13 - Teens 13 or older,1478,5214,,112,361,5335,,487
1986,Wakusei Robo Danguard Ace,6.33,"Mecha, Military, Sci-Fi, Shounen, Space",Dangard Ace,,TV,56,"Mar 6, 1977 to Mar 26, 1978",Spring 1977,,,Toei Animation,Original,,PG-13 - Teens 13 or older,6717,10029,,0,73,334,,108
1988,Himawari!!,6.47,"Comedy, Romance",Himawari Too!!,,TV,13,"Jan 7, 2007 to Apr 1, 2007",Winter 2007,,,Arms,Original,,PG-13 - Teens 13 or older,6073,4940,,4,437,4651,,407
1989,Shizuku,5.69,Comedy,The Drop,,Movie,1,1-Oct-65,Unknown,,,Mushi Production,Original,,PG - Children,9185,8597,,0,32,1779,,52
1990,Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,6.06,"Fantasy, Magic, Comedy",Unknown,,Movie,1,15-Mar-97,Unknown,,,J.C.Staff,Game,,G - All Ages,8000,10227,,3,26,669,,32
1991,Juusou Kikou Dancougar Nova,5.99,Mecha,Unknown,,TV,12,"Feb 15, 2007 to May 3, 2007",Winter 2007,,,Production Reed,Original,,R+ - Mild Nudity,8258,6540,,7,234,2121,,308
1992,Chou Kousoku Gran Doll,5.53,"Action, Comedy, Mecha, School",Hyper Speed GranDoll,,OVA,3,"Aug 23, 1997 to Dec 18, 1997",Unknown,,,Unknown,Unknown,,R+ - Mild Nudity,9592,9373,,2,69,782,,71
1993,Hanoka Recap,4.46,Sci-Fi,Unknown,,Special,1,2006,Unknown,,,Unknown,Unknown,,PG-13 - Teens 13 or older,10919,11120,,0,16,530,,36
1994,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,6.18,"Adventure, Comedy, Fantasy, Game, Sci-Fi",.hack//Legend of the Twilight Offline Meeting Special,,Special,1,24-Oct-03,Unknown,,,Unknown,Manga,,PG - Children,7425,4745,,14,176,6742,,183
1995,Lingerie Senshi Papillon Rose,4.71,"Ecchi, Magic, Sci-Fi, Parody",Papillon Rose OVA,,OVA,1,25-Apr-03,Unknown,,,Studio Kelmadick,Unknown,,R+ - Mild Nudity,10836,5831,,6,236,3764,,156
1996,Full Moon wo Sagashite: Kawaii Kawaii Daibouken,6.72,"Comedy, Fantasy, Shoujo, Supernatural",Unknown,,Special,1,1-Nov-02,Unknown,,,Studio Deen,Manga,,G - All Ages,4795,5145,,32,122,6206,,102
1998,Amazing Nuts!,6.58,"Adventure, Police, Romance, Music, Sci-Fi",Unknown,,Music,4,20-Dec-06,Unknown,,,Studio 4°C,Original,,G - All Ages,5469,5301,,12,177,5362,,148
1999,Sakura Taisen: Sumire,6.43,"Adventure, Drama, Mecha, Sci-Fi, Shounen",Sakura Wars:~Su~Mi~Re~,,OVA,1,18-Dec-02,Unknown,,,Radix,Game,,PG-13 - Teens 13 or older,6262,8226,,2,67,1335,,55
2000,Roujin Z,7.05,"Comedy, Drama, Mecha, Sci-Fi",Roujin Z,,Movie,1,14-Sep-91,Unknown,,,APPP,Original,,PG-13 - Teens 13 or older,3438,3388,,38,654,10389,,126
2001,Tengen Toppa Gurren Lagann,8.66,"Action, Adventure, Comedy, Mecha, Sci-Fi",Gurren Lagann,,TV,27,"Apr 1, 2007 to Sep 30, 2007",Spring 2007,,,Gainax,Original,,PG-13 - Teens 13 or older,52,46,,67916,70769,805570,,42030
2002,Heroic Age,7.56,"Action, Mecha, Military, Sci-Fi, Space",Heroic Age,,TV,26,"Apr 2, 2007 to Oct 1, 2007",Spring 2007,,,Xebec,Original,,PG-13 - Teens 13 or older,1388,1439,,658,5418,51277,,5153
2003,Tokyo Vice,5.38,"Action, Sci-Fi, Mystery, Mecha",The Tokyo Project,,OVA,1,25-Jun-88,Unknown,,,J.C.Staff,Original,,PG-13 - Teens 13 or older,9975,9505,,1,53,781,,47
2004,Hanada Shounen-shi,8.01,"Comedy, Drama, Seinen, Slice of Life, Supernatural",Unknown,,TV,25,"Oct 2, 2002 to Mar 26, 2003",Fall 2002,,,Madhouse,Manga,,R - 17+ (violence & profanity),525,4602,,115,527,3917,,504
2006,Yu☆Gi☆Oh! (Movie),6.91,"Game, Adventure, Comedy, Fantasy, Shounen",Unknown,,Movie,1,6-Mar-99,Unknown,,,Toei Animation,Manga,,PG - Children,3981,2437,,166,509,37601,,345
2007,Dousou Kai Again,5.73,Hentai,Unknown,,OVA,2,"Jul 25, 2002 to Dec 20, 2002",Unknown,,,Arms,Visual novel,,Rx - Hentai,Unknown,8973,,4,130,947,,104
2008,Yawara!: Sore Yuke Koshinuke Kids!!,6.26,"Slice of Life, Comedy, Sports, Martial Arts",Unknown,,Movie,1,1-Aug-92,Unknown,,,Madhouse,Manga,,PG-13 - Teens 13 or older,7071,9343,,0,53,753,,51
2009,Yawara!: Zutto Kimi no Koto ga...,7.24,"Action, Slice of Life, Comedy, Sports, Drama, Martial Arts",Unknown,,Special,1,19-Jul-96,Unknown,,,Madhouse,Manga,,PG-13 - Teens 13 or older,2617,8880,,3,60,1030,,54
2010,Taiho Shichau zo in America,6.56,"Action, Comedy, Police, Shounen",You're Under Arrest:No Mercy!!,,Special,1,29-Mar-02,Unknown,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,5593,7074,,2,94,2322,,62
2011,Taiho Shichau zo Special,7.06,"Action, Comedy, Police, Shounen",You're Under Arrest Mini Specials,,TV,20,"Mar 30, 1999 to Apr 30, 1999",Spring 1999,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,3393,6485,,3,176,2735,,98
2012,Jigoku Sensei Nube,7.55,"Adventure, Comedy, Horror, Romance, School, Shounen, Supernatural",Unknown,,TV,49,"Apr 13, 1996 to Jun 21, 1997",Spring 1996,,,Toei Animation,Manga,,PG-13 - Teens 13 or older,1430,4134,,108,984,5828,,814
2013,Taiho Shichau zo The Movie,7.38,"Action, Comedy, Drama, Police, Shounen",You're Under Arrest The Movie,,Movie,1,29-Apr-99,Unknown,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,1975,5759,,12,168,4167,,75
2014,Taiho Shichau zo: Second Season,7.41,"Action, Comedy, Police, Shounen",You're Under Arrest:Fast & Furious,,TV,26,"Apr 7, 2001 to Sep 29, 2001",Spring 2001,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,1884,5257,,9,306,4778,,197
2015,Wind: A Breath of Heart,6.11,"Comedy, School",Unknown,,OVA,1,27-Dec-02,Unknown,,,Ajia-Do,Visual novel,,PG-13 - Teens 13 or older,7765,8646,,0,59,1189,,45
2016,Mermaid Forest OVA,6.78,"Mystery, Horror, Drama, Fantasy",Unknown,,OVA,1,16-Aug-91,Unknown,,,Studio Pierrot,Manga,,R - 17+ (violence & profanity),4542,6071,,6,102,3608,,71
2017,Mermaid's Scar,6.82,"Drama, Fantasy, Horror, Mystery",Mermaid's Scar,,OVA,1,24-Sep-93,Unknown,,,Madhouse,Manga,,R - 17+ (violence & profanity),4377,5904,,7,122,3524,,60
2018,Warau Hyouteki,6.24,"Horror, Mystery",Laughing Target,,OVA,1,21-Mar-87,Unknown,,,Studio Pierrot,Manga,,R - 17+ (violence & profanity),7174,7307,,2,79,2069,,42
2019,DNA Sights 999.9,6.07,"Action, Adventure, Drama, Sci-Fi",Unknown,,OVA,1,18-Dec-98,Unknown,,,Madhouse,Manga,,PG-13 - Teens 13 or older,7919,8466,,2,79,961,,52
2020,One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,7.24,"Adventure, Comedy, Historical, Fantasy, Shounen",Unknown,,Special,1,18-Dec-05,Unknown,,,Toei Animation,Manga,,PG-13 - Teens 13 or older,2612,3217,,30,317,20821,,214
2021,Youkou no Ken,6.12,"Adventure, Comedy, Hentai",Samurai XXX,,OVA,2,"May 28, 2004 to Jul 23, 2004",Unknown,,,Unknown,Original,,Rx - Hentai,Unknown,8046,,10,169,1463,,120
2022,Fight!!,5.06,"Action, Fantasy, Supernatural",Unknown,,OVA,1,18-Jun-93,Unknown,,,J.C.Staff,Unknown,,PG-13 - Teens 13 or older,10531,10323,,2,43,544,,27
2023,Bakuen Campus Guardress,6.09,"Action, Comedy, Supernatural, School, Shounen",Unknown,,OVA,4,"May 27, 1994 to Nov 25, 1994",Unknown,,,Production I.G,Original,,R - 17+ (violence & profanity),7835,8181,,7,108,1131,,95
2024,Yoshimune,5.98,"Comedy, Historical",Unknown,,TV,24,"Apr 6, 2006 to Sep 14, 2006",Spring 2006,,,Unknown,Unknown,,PG - Children,8318,11709,,0,57,133,,122
